date,time,parkingAreaId,plateNumber,country,confidence,angle,image,status
2025-06-08,09-08-01,6843a488a78f7728a339dd75,FID896,AUS,95,114,2025-06-08_09-08-01_FID896.jpg,APPROACHING
2025-06-08,09-08-01,6843a488a78f7728a339dd75,EFL214,AUS,84,80,2025-06-08_09-08-01_EFL214.jpg,APPROACHING
2025-06-08,09-08-01,6843a488a78f7728a339dd75,PYD860,AUS,95,32,2025-06-08_09-08-01_PYD860.jpg,APPROACHING
2025-06-08,09-08-01,6843a488a78f7728a339dd75,MBT649,AUS,82,242,2025-06-08_09-08-01_MBT649.jpg,APPROACHING
2025-06-08,09-08-01,6843a488a78f7728a339dd75,QPG728,AUS,87,145,2025-06-08_09-08-01_QPG728.jpg,APPROACHING
2025-06-08,09-08-01,6843a488a78f7728a339dd75,RKC273,AUS,86,69,2025-06-08_09-08-01_RKC273.jpg,APPROACHING
2025-06-08,09-08-01,6843a488a78f7728a339dd75,QFD119,AUS,90,347,2025-06-08_09-08-01_QFD119.jpg,APPROACHING
2025-06-08,09-08-02,6843a488a78f7728a339dd75,DEG079,AUS,85,187,2025-06-08_09-08-02_DEG079.jpg,APPROACHING
2025-06-08,09-08-02,6843a488a78f7728a339dd75,VQP005,AUS,87,297,2025-06-08_09-08-02_VQP005.jpg,APPROACHING
2025-06-08,09-08-02,6843a488a78f7728a339dd75,RRJ535,AUS,82,343,2025-06-08_09-08-02_RRJ535.jpg,APPROACHING
2025-06-08,09-08-02,6843a488a78f7728a339dd75,PZH840,AUS,87,113,2025-06-08_09-08-02_PZH840.jpg,APPROACHING
2025-06-08,09-08-02,6843a488a78f7728a339dd75,FMM344,AUS,96,316,2025-06-08_09-08-02_FMM344.jpg,APPROACHING
2025-06-08,09-08-02,6843a488a78f7728a339dd75,TSY390,AUS,85,109,2025-06-08_09-08-02_TSY390.jpg,APPROACHING
2025-06-08,09-08-02,6843a488a78f7728a339dd75,ATJ530,AUS,97,47,2025-06-08_09-08-02_ATJ530.jpg,APPROACHING
2025-06-08,09-08-02,6843a488a78f7728a339dd75,YBC950,AUS,83,6,2025-06-08_09-08-02_YBC950.jpg,APPROACHING
